"CellLine"	"Histology"	"ER"	"HER2"	"genefu.robust"	"ssBC"	"ssBC.v2"	"cIHC"	"cIHC.itr"	"PCAPAM50"	"AIMS"	"sspbc"	"entropy"	"TopCall"	"nVotes"	"Tie"	"mRNA Subtypes"	"RPPA Subtypes"	"DNAm Subtypes"
"JIMT1-C"	"NST"	"ER-"	"HER2+"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	0.543564443199596	"Basal"	"7"	"FALSE"	"Basal"	"Basal"	NA
"KPL1-C"	"NST"	"ER+"	"HER2-"	"LumB"	"LumB"	"LumA"	"LumA"	"Normal"	"LumB"	"Her2"	"Her2"	1.90563906222957	"LumB"	"3"	"FALSE"	"Lum"	"Lum"	NA
"HCC38-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"BT20-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	0.543564443199596	"Basal"	"7"	"FALSE"	"Basal"	"Basal"	"Lum/HER2"
"ZR751-C"	"NST"	"ER+"	"HER2-"	"LumB"	"LumB"	"LumB"	"LumA"	"LumB"	"LumB"	"Her2"	"LumB"	1.06127812445913	"LumB"	"6"	"FALSE"	"Lum"	"Lum"	NA
"HCC1187-C"	"ILC-like"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"EFM19-C"	"NST"	"ER+"	"HER2-"	"LumB"	"LumA"	"LumA"	"LumA"	"LumA"	"LumB"	"LumB"	"Her2"	1.40563906222957	"LumA"	"4"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"BT549-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"CAMA1-C"	"ILC-like"	"ER-"	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"Her2"	"Her2"	0.811278124459133	"LumB"	"6"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"MDAMB157-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"T47D-C"	"NST"	"ER+"	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"Her2"	"LumB"	0.543564443199596	"LumB"	"7"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"MDAMB436-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	"Her2"	0.811278124459133	"Basal"	"6"	"FALSE"	"Basal"	"Basal"	"Basal"
"UACC893-C"	"NST"	"ER-"	"HER2+"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"HER2"	"Lum/HER2"	"Lum/HER2"
"MDAMB175VII-C"	"NST"	"ER-"	"HER2-"	"LumA"	"Her2"	"LumA"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.954434002924965	"LumA"	"5"	"FALSE"	"Lum/HER2"	"Lum"	NA
