""	"ERpos"	"ERpos_z"	"ERneg"	"ERneg_z"	"SET"
"HS578T-C"	75.9977575877681	-0.758611999649592	262.15100468669	2.36907455528438	-1.57698357780257
"HCC1428-C"	183.737892733455	0.67031239320745	81.7676102313351	-0.665457181324557	0.717502734174084
"AU565-C"	104.834210866755	-0.37616295744161	122.94895112493	0.027323250461003	-0.23880042294199
"HCC1143-C"	52.1212577393938	-1.07527869960551	137.653148393492	0.27468722433197	-0.77568031258554
"HCC1954-C"	70.2073480947955	-0.835408426143314	175.764746201109	0.915826357062457	-0.935154454815841
"MDAMB415-C"	161.352768417228	0.373425349866168	89.7954997122042	-0.530406582674715	0.47530715938011
"MDAMB468-C"	58.337334998514	-0.992836771985595	150.221070070475	0.486113322100952	-0.826263547119598
"CAL851-C"	71.2362844142935	-0.821761959080328	283.834882003315	2.73385543818499	-1.78758246501938
"HCC2157-C"	52.4209924493619	-1.07130341000818	210.394202783667	1.49838654969318	-1.35257042863373
"BT474-C"	145.288423019079	0.16036886015918	98.6556988021876	-0.381354307589146	0.276819287738865
"HDQP1-C"	60.845502452677	-0.959571715729842	170.046131250091	0.819623939923634	-0.96416750683446
"BT483-C"	227.083473806775	1.2451915506772	49.0555167357163	-1.21576219239886	1.32319187542836
"HCC1937-C"	52.1912344419179	-1.07435062004599	149.563931828252	0.475058497141115	-0.869975176345868
"DU4475-C"	64.2198271116933	-0.914819081921024	184.396399251945	1.06103387575477	-1.05157498721638
"MDAMB231-C"	66.5384278399391	-0.884068191053787	228.004247422577	1.79463465779216	-1.38038399916883
"HCC1419-C"	207.628098443399	0.987160869804878	74.4570327804604	-0.788440670767137	0.965971750170727
"HCC1569-C"	63.2212300332254	-0.928063168928425	146.829794668116	0.42906298846513	-0.760363808478248
"HCC1806-C"	55.3144876613134	-1.03292786979393	143.06999086934	0.365813020333324	-0.793388163711728
"EFM192A-C"	130.96328827631	-0.0296210116488243	69.1912851411864	-0.877024647006177	0.397381701711721
"HCC2218-C"	255.079431140717	1.61649335275644	97.2871775509196	-0.404376499746774	1.16204382648121
"HMEL-C"	75.7549020614972	-0.761832918065549	143.060639688102	0.365655708423735	-0.630535420394741
"HCC202-C"	101.634294075806	-0.418602473147766	87.8107914950697	-0.56379468966199	0.015541390529275
"SKBR3-C"	120.178146194972	-0.172661045704974	131.608829299739	0.17300559132153	-0.185571595472737
"UACC812-C"	213.718127512809	1.06793105891519	54.1465800196797	-1.13011687479677	1.17621332354322
"MDAMB453-C"	156.116240436607	0.303974884120322	84.1922108106459	-0.624668906834357	0.478227878538392
"MDAMB134VI-C"	181.758159644464	0.644055799985434	30.6164100154976	-1.52595734481945	1.10908220155942
"CAL148-C"	119.2234562328	-0.185322806085342	98.3607312555377	-0.386316451606233	0.0715985943895504
"HCC1395-C"	48.0185519793044	-1.12969162872779	172.225504612923	0.856286835947972	-1.08367112628178
"HCC1599-C"	47.1768525588923	-1.14085483018149	164.305105966362	0.723044520976844	-1.0272995466906
"HCC1500-C"	230.200730465154	1.28653477037829	38.704063068801	-1.38990136284266	1.43045063185189
"MCF7-C"	293.451521594862	2.12541062839102	79.7966768709064	-0.698613558334873	1.60690839858456
"HCC70-C"	72.6822819813196	-0.802584136509923	269.7025401686	2.49611160406138	-1.66352357066211
"ZR7530-C"	212.405808067872	1.05052616830915	69.8126153329661	-0.866572209343821	1.04100533602978
"JIMT1-C"	71.8205518478786	-0.81401299917163	165.156757270925	0.737371576524401	-0.83783036828041
"KPL1-C"	176.287014467519	0.571493678268887	95.0457864452391	-0.442082700280792	0.552425859577727
"HCC38-C"	57.3036355986847	-1.00654641032325	135.633250248296	0.240707128520923	-0.718324623064952
"BT20-C"	59.7744272079187	-0.973777058444058	141.116619019986	0.332952074966594	-0.74231543378631
"HMC18-C"	64.4097051021217	-0.912300788326692	207.623739968175	1.451779946219	-1.23503498772455
"ZR751-C"	158.550164766525	0.336255276572818	45.0393636529448	-1.28332464195552	0.809406238284883
"HCC1187-C"	51.1163053120167	-1.08860707565774	178.487296500556	0.961626943713646	-1.10886810746858
"CAL51-C"	63.3838780130945	-0.925906018618843	120.449394484549	-0.0147259856984069	-0.548986900894643
"CAL120-C"	79.3828748864132	-0.713716226369044	168.886046161893	0.800108202192164	-0.807305806828909
"EFM19-C"	185.352384453266	0.691724902087114	78.1537039001686	-0.726252763357863	0.759139346699773
"BT549-C"	62.5875128754917	-0.936467965373438	242.518601826601	2.03880496630857	-1.52743310644441
"CAMA1-C"	150.995678709688	0.23606244325666	67.3942243481366	-0.907256021826409	0.571221641498505
"MDAMB157-C"	47.0236355808372	-1.14288690000437	153.053818707197	0.533767739881059	-0.938919502254025
"MDAMB361-C"	113.116605563043	-0.266316094925675	104.700853982111	-0.279658609370412	-0.0275235082827381
"T47D-C"	179.902477327145	0.619444454129738	69.7887059271294	-0.866974429576089	0.782353820212873
"MDAMB436-C"	63.3984627402313	-0.925712585852672	146.064723094581	0.416192435842042	-0.752859720643382
"UACC893-C"	119.958193235083	-0.175578214402052	86.4591588263497	-0.586532770635864	0.172228484161342
"MDAMB175VII-C"	182.93931699934	0.659721127988807	61.3417474642344	-1.00907489071258	0.873805627939064
"BCK4-I"	355.095211680398	2.94297199779005	43.7411941670108	-1.3051633290279	2.38494070634921
"CAMA1-I"	189.980134511698	0.753101332825737	66.9696885624018	-0.914397850590792	0.885057140779279
"HCC1187-I"	58.388834256023	-0.99215375311645	201.488939890856	1.34857618076939	-1.23412770652496
